CUST_ID,ARTICLE_ID,AGE,RATING
1738667,4710085120161,40-44,2
1738667,4710126185357,40-44,1
1738667,4710250360101,40-44,1
1738667,4710043312010,40-44,1
1738667,4710892201275,40-44,1
1738667,4710126185357,40-44,1
1738667,4710085120710,40-44,1
1738667,4710998000901,40-44,3
1738667,4710254011610,40-44,1
1738667,4711001917018,40-44,1
1738667,20246068,40-44,1
1738667,4710109770402,40-44,1
1738667,4710094097584,40-44,1
1738667,4710626622857,40-44,1
1738667,4710168702901,40-44,1
1738667,4712076005013,40-44,1
1738667,4902430001908,40-44,1
1738667,4711080010112,40-44,1
1738667,4710008241218,40-44,3
1738667,4710094021589,40-44,1
1738667,4710095370235,40-44,1
1738667,4710186063145,40-44,1
1738667,4710043553024,40-44,1
1738667,4710543214012,40-44,2
1738667,4710174003443,40-44,1
1738667,4711001917018,40-44,1
1738667,4710739028805,40-44,1
1738667,4710088432650,40-44,1
1738667,4710043312010,40-44,1
1738667,20332433,40-44,1
1738667,4710008242154,40-44,3
1738667,4710043100051,40-44,3
1738667,4710094014741,40-44,1
1738667,4710254011610,40-44,3
1738667,4710011402194,40-44,1
1738667,4710105045740,40-44,1
1738667,4710012331554,40-44,2
1738667,4710250360101,40-44,1
2068718,4710485168879,55-59,1
2068718,4902430488266,55-59,1
2068718,4710105080048,55-59,1
2068718,4715545050293,55-59,8
2068718,4710094020193,55-59,1
2068718,4712425010712,55-59,1
2068718,4710706111752,55-59,1
2068718,4711369000018,55-59,2
2068718,4710176016045,55-59,1
2068718,4710114316138,55-59,1
2068718,4711300986685,55-59,1
2068718,2250271000218,55-59,1
2068718,4715545050293,55-59,10
2068718,4710085104130,55-59,3
2068718,4710085104130,55-59,2
2068718,4710320154142,55-59,2
2068718,4710063442148,55-59,1
2068718,4710085120475,55-59,2
2068718,4710030633852,55-59,1
2068718,4710321790509,55-59,1
2068718,4710094097768,55-59,1
2068718,4710015103288,55-59,1
2068718,4710110422048,55-59,1
2068718,4710200002389,55-59,1
2068718,4710171042223,55-59,1
2068718,4710085104130,55-59,2
2068718,4710176121145,55-59,1
2068718,4710094001765,55-59,1
2068718,4710363502009,55-59,4
2068718,4710011401128,55-59,2
2068718,4710105025438,55-59,1
2068718,4710088414038,55-59,2
2068718,4902430488266,55-59,1
2068718,4710063442148,55-59,1
2068718,4710110241588,55-59,2
2068718,4710110241014,55-59,2
2068718,4710110910156,55-59,1
2068718,4710823997239,55-59,1
2068718,4710171052222,55-59,1
2068718,4715545050293,55-59,12
2068718,4710154012144,55-59,3
2068718,4710549000770,55-59,2
2068718,4710085104130,55-59,2
2068718,4710110815208,55-59,2
2068718,4718433613228,55-59,1
2068718,4901550332077,55-59,1
2068718,4710114606048,55-59,1
2068718,47106710,55-59,2
2068718,4719860717503,55-59,2
2068718,4710063041358,55-59,1
2068718,4710022401209,55-59,2
2068718,4713754987607,55-59,1
2068718,4710094097768,55-59,1
2068718,4714981010014,55-59,1
1098143,79763251226,35-39,1
1098143,4710058277021,35-39,1
1098143,4710105031811,35-39,1
1098143,4710105017112,35-39,1
1098143,4710421090059,35-39,1
1098143,4710289000016,35-39,1
1098143,4710105045443,35-39,1
1098143,4710088502216,35-39,1
1098143,4710421090059,35-39,1
1098143,4710063412349,35-39,1
1098143,4710105031880,35-39,1
1098143,4710105031811,35-39,1
1098143,4716426880411,35-39,1
1098143,4710088502209,35-39,1
1098143,4710421090059,35-39,1
1098143,4710058277021,35-39,1
1098143,4710105031811,35-39,1
1098143,4710105045719,35-39,1
1098143,4710110855129,35-39,1
1098143,4710088502209,35-39,1
1098143,4712019100607,35-39,1
1098143,4710105031880,35-39,1
1098143,4710105045313,35-39,1
1098143,4710105031811,35-39,1
1098143,4710085120697,35-39,1
1098143,4710485168879,35-39,1
1098143,4716426880411,35-39,1
1098143,4710058277021,35-39,1
1098143,4710058277021,35-39,1
1098143,4715006140303,35-39,2
1098143,4710085150328,35-39,1
1098143,4710105016351,35-39,1
1098143,4710626065616,35-39,1
1098143,4710047502066,35-39,6
1098143,4716426880411,35-39,1
1098143,4710110855129,35-39,1
1098143,4710421090059,35-39,1
1098143,4714775000627,35-39,1
1098143,4710058277021,35-39,1
1098143,4710105031811,35-39,1
1098143,4710058277021,35-39,1
