CUST_ID,ARTICLE_ID,RATING,TIME
7799420340,A39F6C6EHDZ7SV,5.0,
7799420340,A34YKHOG6DGIXW,5.0,
7799420340,A2VD6ZCI92C6UX,5.0,
7799420340,A3RLNPQFXW3I42,5.0,
7799420340,A3F7U41ZW2FPE8,5.0,
7799420340,ALJRTHVB6TWCA,5.0,
7799420340,AD3C29MKDX7V2,5.0,
7799420340,A1DJDDPJP6THC1,5.0,
7799420340,ANAX7K8262IV8,5.0,
7799420340,A18P38AAU083CS,4.0,
7799420340,A21O4CYGAB6GB6,5.0,
7799420340,A2WC24DWP57F8K,5.0,
7799420340,A23XZO4O454SX5,5.0,
7799420340,A3BD555VO8C6Z5,5.0,
9714721180,A2VSNUK7YLRKRE,5.0,
9714721180,A3U86BP7Y64RSQ,4.0,
9714721180,AER2CRRW2U50Q,5.0,
9714721180,A2D1UD6WYNRU55,5.0,
9714721180,AERRLBB4MYEV6,5.0,
9714721180,A19I5KZQM3CA6W,5.0,
9714721180,AEU4YQN8YDHK4,4.0,
9714721180,A26JLRL7PCJ60R,5.0,
9714721180,ADXP05MY5KQC7,5.0,
9714721180,ARTEP8UTYX17C,5.0,
9714721180,A2Y1RV5JZEW299,5.0,
9714721180,A27TQ6L6C4XTYF,5.0,
9714721180,A33M6VWSV2OTO,5.0,
9714721180,APSFVCCFBVZ41,5.0,
9714721180,A1873OKN98G2LM,4.0,
9714721180,A2L167UOLOYOO0,5.0,
9714721180,AKGME0UCV6QEM,5.0,
9714721180,A13C6NTJ3HO0FX,4.0,
9714721180,A30TALKCA3L0VK,5.0,
9721717150,A3E1CV5W96D6LW,5.0,
9721717150,A2D1UD6WYNRU55,5.0,
9721717150,ARTEP8UTYX17C,5.0,
9721717150,A39KCZI1A2ZV51,5.0,
9721717150,A2XBPJ4V623SW,5.0,
9721717150,A3R9G51K0B5W1V,5.0,
B000006045,ALWINJYUDI92N,4.0,
B000006045,AD44J46ASZDNA,5.0,
B000006045,A1G5XXV19J68WG,5.0,
B000006045,A1UN0CRXCIWMG9,4.0,
B000006045,A3NZTWXHPPG41G,5.0,
B000006045,A3IR5M75J6MDV4,4.0,
B0000564WK,A1QJ5AX049KOGM,3.0,
B0000564WK,A1WLZYEOIL1HLT,5.0,
B0000564WK,A24JH06VQ46CD4,5.0,
B0000564WK,AV0L71GSON8ZM,5.0,
B000JF21D0,A5UUKLEXZMJLQ,1.0,
B000JF21D0,A1PTD0V4ZFWAQV,5.0,
B000JF21D0,AD0APBS0F8A10,5.0,
B000JF21D0,AOLCYAV27A4K3,5.0,
B000JF21D0,A85597V25UCYU,5.0,
B000JF21D0,A2KUKP4L8JQUUH,5.0,
B000JF21D0,A5WRWOODTAY1U,5.0,
B000JF21D0,A539D3P4G3BLN,4.0,
B000JF21D0,A2UUQFH6UK6BH7,5.0,
B000JF21D0,A32FHEFS04SLJM,5.0,
B000JF21D0,ANB5WY9TBBZFJ,5.0,
B000JF21D0,A2T24R7614CRAU,2.0,
B000JF21D0,A2ML9U5O9Y7M7C,5.0,
B000JF21D0,A1TO5LN8UFLQW7,5.0,
B000JF21D0,AQOC7SD115HX1,5.0,
B000MSTZV0,A7SQOFHLLB0RS,5.0,
B000MSTZV0,ATXSYDHOILQ47,5.0,
B000MSTZV0,A2REF5NAGDO02L,5.0,
B000MSTZV0,A1IWWRZJOXOSYP,5.0,
B000QMCWMG,A3SMVNSVR0DM47,5.0,
B000QMCWMG,A3CIWAI5ETAW80,5.0,
B000QMCWMG,A1YRSXPYJ2K7V,4.0,
B000QMCWMG,A25OM9GZSWNK5M,5.0,
B000QMCWMG,A168AALR3BOYR7,5.0,
B000QMDXDS,A3CIWAI5ETAW80,5.0,
B000QMDXDS,AXVPKMCUEIZUQ,5.0,
B000QMDXDS,A25OM9GZSWNK5M,5.0,
B000QMDXDS,A168AALR3BOYR7,5.0,
B000QMG34E,A3CIWAI5ETAW80,5.0,
B000QMG34E,A25OM9GZSWNK5M,5.0,
B000QMG34E,A3OTIKCKK5O2E7,5.0,
B000QMG34E,AZ1M71UTLQCXB,5.0,
B000QNZNNA,AVTOTG79YXST1,5.0,
B000QNZNNA,A1ZERSCNHJTGRR,5.0,
B000QNZNNA,AWG54PICTE0MV,5.0,
B000QNZNNA,A2PR1O53J0V8W2,5.0,
B000QNZNNA,A2R32YNQ07KI10,5.0,
B000QNZNNA,A1YLAOKY7A27KS,5.0,
B000QO3H3W,A2A788AUOVBOL2,5.0,
B000QO3H3W,A2WT189AQWSFJU,5.0,
B000QO3H3W,A15T3Y3BL2AJ9V,5.0,
B000QO3H3W,AN0DDBQW1I5A3,5.0,
B000QO3H3W,A3923W0OJNGUHN,4.0,
B000QO3H3W,A39INJEROPBO1,3.0,
B000QO6B1C,A2BWO2L2RDYBCY,5.0,
B000QO6B1C,A25W5VJ3VN8D5P,5.0,
B000QO6B1C,AKW5WFJ24WMW4,5.0,
B000QO6B1C,AHNMNYO3U7MFM,4.0,
B000QO6B1C,ADW8TZ1VL69II,4.0,
B000QO6B1C,AZBD8BN3YO7A6,4.0,
B000QOEN6W,A3ATNMBYNPL7DQ,5.0,
B000QOEN6W,A1IQV4GY77TJKU,5.0,
B000QOEN6W,A10M52OJSDB8WK,5.0,
B000QOEN6W,A2H3JURQZOHVMB,5.0,
B000QOEN6W,A2TCS5WHOWV1D3,5.0,
B000QOEN6W,A1KD0VWHR8GCPH,4.0,
B000QOEN6W,A15T3Y3BL2AJ9V,5.0,
B000QOEN6W,A165P3MOJV3OVZ,5.0,
B000QOEN6W,A3M8MLPRL1JCRY,5.0,
B000QOEN6W,A2ABJ4XM4MJ5CD,5.0,
B000QOEN6W,A343RU4APYYS1V,5.0,
B000QOEN6W,A1EK86R4P2XI5V,4.0,
B000QOIE8K,A3U9MQSG87E5TX,5.0,
B000QOIE8K,A1HVTP58Q1CTJL,4.0,
B000QOIE8K,A20O89YXB85DD9,5.0,
B000QOIE8K,A1MH8L9TVKMYDN,4.0,
B000QONMQ4,A348GYLVPWT8AK,4.0,
B000QONMQ4,A3QM06DR4MFUE4,5.0,
B000QONMQ4,A2DAPMMYMQ2NPL,5.0,
B000QONMQ4,A136MAOWGCU2C2,5.0,
B000QONMQ4,ABDH4NZQZGC7H,5.0,
B000QONMQ4,A3L577V8TY26GN,5.0,
B000QP4IBG,AFVQDZ4F03GAZ,4.0,
B000QP4IBG,A5ZELOQA2OY7V,5.0,
B000QP4IBG,ARYVQL4N737A1,5.0,
B000QP4IBG,A1OTWKSJ933COE,5.0,
B000QP4IBG,A2N5VE7XY18XES,4.0,
