CUST_ID,ARTICLE_ID,AGE,RATING
1738667,4902430001847,40-44,1
1738667,4710363522007,40-44,1
1738667,4713447001016,40-44,1
1738667,4902430001908,40-44,1
1738667,4710110241014,40-44,2
1738667,4710012331554,40-44,2
1738667,4710088411686,40-44,1
1738667,4710008242154,40-44,2
1738667,4710998000901,40-44,3
1738667,4710998000901,40-44,2
1738667,4710105002026,40-44,3
1738667,4710126031500,40-44,1
1738667,4710085120703,40-44,1
1738667,4710088414113,40-44,1
1738667,4712076005600,40-44,1
1738667,4710168702079,40-44,1
1738667,4710088434517,40-44,1
1738667,4710088434111,40-44,2
1738667,4710126031500,40-44,1
1738667,4710085120710,40-44,2
1738667,4710247006050,40-44,1
1738667,4710094014765,40-44,1
1738667,4710363522007,40-44,1
1738667,4710035350006,40-44,1
1738667,4710008212164,40-44,1
1738667,4710126392007,40-44,1
1738667,4710685443820,40-44,1
1738667,4710126184268,40-44,1
1738667,4710094020575,40-44,1
1738667,4710583350718,40-44,1
1738667,4710998001007,40-44,1
1738667,4710128030037,40-44,1
1738667,4710012122121,40-44,1
1738667,4710498215119,40-44,1
1738667,4710043105124,40-44,1
1738667,4710114322115,40-44,1
1738667,4711587808953,40-44,1
1738667,2250062000090,40-44,1
1738667,4710110241014,40-44,1
1738667,4710105051420,40-44,1
1738667,4710543310066,40-44,1
1738667,9300644131728,40-44,1
1738667,4710247006937,40-44,1
1738667,4710982249811,40-44,1
1738667,4710126185357,40-44,3
1738667,4712031000022,40-44,1
1738667,4902738431223,40-44,1
2068718,4715545050293,55-59,10
2068718,4714108700040,55-59,1
2068718,4710247007422,55-59,2
2068718,4711080010112,55-59,2
2068718,4710085104130,55-59,2
2068718,4712433020321,55-59,2
2068718,4710085120680,55-59,1
2068718,4710171042223,55-59,2
2068718,4710171042223,55-59,2
2068718,20359980,55-59,1
2068718,4710176021841,55-59,1
2068718,2250271000072,55-59,1
2068718,4710046021100,55-59,1
2068718,723125488033,55-59,1
2068718,4710154620264,55-59,1
2068718,4710085104130,55-59,1
2068718,4710063041372,55-59,1
2068718,74603003287,55-59,1
2068718,4711713491172,55-59,1
2068718,4710085120468,55-59,3
2068718,4710015103295,55-59,1
2068718,723125488040,55-59,1
2068718,20566395,55-59,1
2068718,4710088414038,55-59,1
2068718,4710254049323,55-59,1
2068718,4710110910149,55-59,1
2068718,4712076000575,55-59,1
2068718,4710085104130,55-59,1
2068718,4713080626218,55-59,1
2068718,4710105080048,55-59,1
2068718,4711634000460,55-59,1
2068718,4710114606048,55-59,1
2068718,4710908131824,55-59,1
2068718,4710722000566,55-59,1
2068718,4710363522007,55-59,1
2068718,723125485025,55-59,2
2068718,4710094001765,55-59,1
2068718,4710085104130,55-59,2
2068718,4710085104130,55-59,2
2068718,4710085104130,55-59,6
2068718,4710105080420,55-59,1
2068718,4710085104130,55-59,3
2068718,4711985005589,55-59,1
2068718,723125488019,55-59,1
2068718,4710011406123,55-59,1
2068718,4717097101027,55-59,1
2068718,4710105025810,55-59,1
2068718,4710466101130,55-59,1
2068718,4710085104130,55-59,2
2068718,4710105080420,55-59,1
2068718,4710094001765,55-59,1
2068718,4710095958006,55-59,1
2068718,4710105025438,55-59,2
2068718,4710154012144,55-59,3
2068718,4715874000655,55-59,1
2068718,4710085104130,55-59,2
2068718,4718433613228,55-59,1
2068718,4711686006106,55-59,1
2068718,4710105337708,55-59,1
2068718,4710908131589,55-59,3
2068718,4710717900482,55-59,1
2068718,4714617943044,55-59,1
2068718,4710154058319,55-59,1
2068718,4710363911610,55-59,2
2068718,4710168102206,55-59,2
2068718,4711863180070,55-59,2
1098143,4711039232190,35-39,1
1098143,4716861201482,35-39,1
1098143,4710126001091,35-39,1
1098143,4710105045726,35-39,3
1098143,4710105031286,35-39,1
1098143,4710105031880,35-39,1
1098143,4710085120093,35-39,1
1098143,4710105031880,35-39,1
1098143,4710105031286,35-39,1
1098143,20332433,35-39,1
1098143,4714692002216,35-39,1
1098143,4710058278059,35-39,1
1098143,723125488019,35-39,1
1098143,4710110815208,35-39,2
1098143,4710058277021,35-39,1
1098143,4710105031811,35-39,1
1098143,4710058277021,35-39,1
1098143,4716426880619,35-39,1
1098143,4710421090059,35-39,1
1098143,4710105031880,35-39,1
1098143,4710171120228,35-39,1
1098143,4710421090059,35-39,2
1098143,4710088502209,35-39,1
1098143,4710105017112,35-39,1
1098143,4710946507599,35-39,1
